year,month,temperature
1951,1,-0.327
1951,2,-0.392
1951,3,-0.136
1951,4,-0.018
1951,5,0.128
1951,6,0.108
1951,7,0.059
1951,8,0.187
1951,9,0.098
1951,10,0.211
1951,11,0.007
1951,12,0.187
1952,1,0.193
1952,2,0.164
1952,3,-0.062
1952,4,0.099
1952,5,0.072
1952,6,0.096
1952,7,0.119
1952,8,0.116
1952,9,0.121
1952,10,0.069
1952,11,-0.098
1952,12,0.091
1953,1,0.098
1953,2,0.197
1953,3,0.104
1953,4,0.319
1953,5,0.257
1953,6,0.252
1953,7,0.132
1953,8,0.146
1953,9,0.116
1953,10,0.119
1953,11,-0.01
1953,12,0.137
1954,1,-0.204
1954,2,-0.056
1954,3,-0.086
1954,4,0.004
1954,5,-0.022
1954,6,-0.042
1954,7,-0.119
1954,8,-0.077
1954,9,-0.076
1954,10,0.095
1954,11,0.157
1954,12,-0.064
1955,1,0.217
1955,2,-0.129
1955,3,-0.261
1955,4,-0.124
1955,5,-0.174
1955,6,-0.05
1955,7,-0.1
1955,8,0.127
1955,9,-0.16
1955,10,0.01
1955,11,-0.243
1955,12,-0.232
1956,1,-0.07
1956,2,-0.152
1956,3,-0.221
1956,4,-0.22
1956,5,-0.262
1956,6,-0.135
1956,7,-0.103
1956,8,-0.303
1956,9,-0.225
1956,10,-0.279
1956,11,-0.174
1956,12,0.0
1957,1,-0.12
1957,2,-0.044
1957,3,-0.09
1957,4,0.047
1957,5,0.134
1957,6,0.195
1957,7,-0.028
1957,8,0.14
1957,9,0.077
1957,10,0.096
1957,11,0.054
1957,12,0.148
1958,1,0.358
1958,2,0.188
1958,3,0.115
1958,4,0.027
1958,5,0.069
1958,6,-0.068
1958,7,-0.018
1958,8,-0.075
1958,9,-0.117
1958,10,0.045
1958,11,0.052
1958,12,0.087
1959,1,0.112
1959,2,0.042
1959,3,0.141
1959,4,0.196
1959,5,0.103
1959,6,0.089
1959,7,0.024
1959,8,-0.002
1959,9,-0.108
1959,10,-0.014
1959,11,-0.137
1959,12,0.021
1960,1,-0.006
1960,2,0.108
1960,3,-0.335
1960,4,-0.139
1960,5,-0.057
1960,6,-0.005
1960,7,-0.052
1960,8,0.082
1960,9,0.062
1960,10,0.065
1960,11,-0.172
1960,12,0.222
1961,1,0.058
1961,2,0.173
1961,3,0.041
1961,4,0.155
1961,5,0.173
1961,6,0.129
1961,7,0.016
1961,8,0.011
1961,9,0.045
1961,10,-0.039
1961,11,0.013
1961,12,-0.121
1962,1,0.063
1962,2,0.115
1962,3,0.128
1962,4,0.051
1962,5,-0.115
1962,6,0.012
1962,7,-0.074
1962,8,-0.071
1962,9,-0.093
1962,10,-0.036
1962,11,0.002
1962,12,0.002
1963,1,0.002
1963,2,0.121
1963,3,-0.222
1963,4,-0.063
1963,5,-0.088
1963,6,-0.025
1963,7,0.065
1963,8,0.252
1963,9,0.176
1963,10,0.137
1963,11,0.111
1963,12,0.045
1964,1,-0.079
1964,2,-0.124
1964,3,-0.294
1964,4,-0.334
1964,5,-0.275
1964,6,-0.041
1964,7,-0.095
1964,8,-0.285
1964,9,-0.343
1964,10,-0.284
1964,11,-0.254
1964,12,-0.235
1965,1,-0.031
1965,2,-0.168
1965,3,-0.177
1965,4,-0.183
1965,5,-0.074
1965,6,-0.093
1965,7,-0.154
1965,8,-0.061
1965,9,-0.202
1965,10,-0.011
1965,11,-0.065
1965,12,-0.002
1966,1,-0.15
1966,2,-0.038
1966,3,-0.057
1966,4,-0.014
1966,5,-0.091
1966,6,0.006
1966,7,0.098
1966,8,-0.039
1966,9,0.003
1966,10,-0.158
1966,11,-0.027
1966,12,-0.003
1967,1,-0.083
1967,2,-0.227
1967,3,0.047
1967,4,0.012
1967,5,0.214
1967,6,-0.001
1967,7,0.025
1967,8,-0.005
1967,9,-0.037
1967,10,0.054
1967,11,-0.1
1967,12,-0.01
1968,1,-0.195
1968,2,-0.15
1968,3,0.111
1968,4,-0.04
